"","GSM131333.DT","GSM131334.DT","GSM131337.DT","GSM131338.DT","GSM131341.DT","GSM131342.DT","GSM131345.DT","GSM131346.DT","GSM131349.DT","GSM131350.DT","GSM131353.DT","GSM131354.DT","GSM131357.DT","GSM131358.DT","GSM131261.CT","GSM131262.CT","GSM131265.CT","GSM131266.CT","GSM131269.CT","GSM131270.CT","GSM131273.CT","GSM131274.CT","GSM131277.CT","GSM131278.CT","GSM131281.CT","GSM131282.CT","GSM131457.HT","GSM131458.HT","GSM131461.HT","GSM131462.HT","GSM131465.HT","GSM131466.HT","GSM131469.HT","GSM131470.HT","GSM131309.ST","GSM131310.ST","GSM131313.ST","GSM131314.ST","GSM131317.ST","GSM131318.ST","GSM131321.ST","GSM131322.ST","GSM131325.ST","GSM131326.ST","GSM131329.ST","GSM131330.ST","GSM131225.WT","GSM131226.WT","GSM131229.WT","GSM131230.WT","GSM131233.WT","GSM131234.WT","GSM131237.WT","GSM131238.WT","GSM131241.WT","GSM131242.WT","GSM131245.WT","GSM131246.WT","GSM131249.WT","GSM131250.WT","GSM131253.WT","GSM131254.WT","GSM131257.WT","GSM131258.WT"
"244920_s_at","12.09623587","12.18148503","12.20327943","12.24821973","12.08836572","12.16061086","12.06794234","11.96575051","12.08611304","12.16222571","11.58685722","11.23754757","11.41095416","11.68417832","12.33151954","12.5533941","12.41667803","12.50272197","12.42119871","12.01187437","12.34529393","12.14847198","11.5805426","11.54347899","11.45783953","12.34841552","11.86551079","11.68577359","12.12822907","11.96869764","11.4475044","11.38324087","11.00625215","10.83243537","11.76054895","11.65687016","11.81352453","11.65116647","11.16294985","10.88048005","10.85909149","11.4629632","11.80578687","12.13073773","11.96659672","11.91674375","11.52633934","11.49648906","12.53052922","12.41463211","11.82885022","11.3564136","12.04298633","12.09078847","11.16735395","10.73379805","12.10007485","12.3415716","12.21780895","12.05721999","11.65961867","11.55031352","11.39422633","12.32664258"
"244929_at","11.11650719","11.06932166","11.28220188","11.06656261","11.24850668","11.18217286","11.16437462","11.28520379","11.30965964","11.38441566","11.20519083","10.94931524","10.86919809","10.70312897","11.93312027","11.54189986","11.67463474","11.52575337","11.69575781","10.80030193","11.83625545","11.64703215","10.70217189","10.81562335","10.74584301","11.39548571","10.80579668","10.83452538","11.19558632","11.34136127","10.11835444","10.17074391","9.752450301","9.960534568","11.15693418","10.96326137","11.30154307","11.05170466","10.32089464","10.1460757","9.868811063","10.33697606","11.15415234","11.3535048","11.27818228","11.33587386","9.792758323","9.643859002","11.50129562","11.46554866","10.42221378","10.21540686","10.74823302","10.95686025","10.94360695","10.50346909","11.16876182","11.00690877","11.07688674","10.79299414","10.54801983","10.49058547","10.08249419","11.4757197"
"245063_at","9.162441264","9.327695864","9.059623264","9.191239429","9.060253838","9.060747511","8.986512595","8.945371682","8.941628092","8.978121325","9.414583176","9.626278941","9.485239186","9.482336135","9.374003089","9.444345124","9.082264898","9.356729128","9.333242477","8.786128133","9.233443285","8.665438481","9.234076393","9.038233192","9.316041021","9.222526965","9.232300445","9.522717156","9.467216623","9.508581615","9.597342214","9.66891684","9.436229731","9.598463103","9.152930992","9.159876433","8.617490193","8.830371815","8.477216941","8.43245413","8.298925228","8.09389774","7.909337646","8.314767154","7.796330116","8.120282709","9.671851387","9.496991282","9.537594854","9.223185643","9.137788119","9.37475511","9.435618731","9.347864595","9.292583766","9.216471924","9.390649422","9.597302762","9.444327362","9.260895066","9.607624548","9.450241446","9.311493568","9.370233405"
"245164_at","11.84491736","11.82436539","11.95050279","12.07907495","11.76210694","11.9295813","11.94646318","11.45598287","11.48732509","11.54984253","12.11686511","12.31289934","12.23568804","12.02305765","11.86436387","11.77437916","11.69086561","11.74787949","11.83474089","11.30895687","11.61888083","11.36219755","11.60837178","11.67575474","11.88525708","11.56911674","11.38205107","11.43832761","11.48451621","11.44815665","11.50967736","11.88210543","11.91749237","12.01198467","11.62925758","11.80089728","11.6352643","11.76454336","11.11257295","10.90047979","11.36002062","10.97852714","10.95316627","10.8373163","11.08646837","11.2410932","11.77553493","11.71139354","11.97085116","11.62372848","11.88774126","11.63959662","11.66565759","11.59366023","11.57799265","11.47871949","12.02397551","11.81659434","11.89297358","11.46898262","12.19846398","11.98864789","11.71989527","11.72006564"
"245169_at","11.25608795","11.01752688","11.10722104","11.04060966","11.24116822","11.13032045","11.13815799","11.21930971","11.18636017","11.17896955","11.12427839","11.09257246","11.25608795","11.23730566","11.23647739","11.23829505","11.20858107","11.17281923","11.22550134","10.84888289","11.02584245","11.0246724","11.084181","11.08083919","10.90271126","10.86109681","11.4904353","11.29343602","11.19211078","11.23980715","11.16309557","11.20034845","11.42666435","11.44253835","10.97849463","11.17898861","10.94585188","10.94727716","10.8613867","10.75182898","10.27983701","10.40255815","10.39917613","11.0040163","10.79896465","10.79285631","11.26885591","11.3753556","11.26626903","11.16710119","11.27822907","11.31112004","11.31264987","11.26800992","11.12095947","11.180992","11.45839795","11.15793584","11.17731288","11.31853477","11.16669423","11.21408731","11.23533263","11.13033594"
"245263_at","7.938802039","8.048511243","7.891054401","7.506875004","8.037826762","8.007428841","7.84336291","8.068223359","7.97545866","7.930312518","8.033331885","7.93369127","7.970002923","7.960294663","7.496978541","7.856779819","7.556102799","7.67521714","7.802392597","7.752094898","7.760583298","7.753082744","7.876744969","7.458660841","7.370957558","7.558647814","8.391249529","8.326012154","8.227526099","8.326008357","8.533006551","8.340261587","8.053469465","8.136844028","8.04308422","7.898142635","7.609490445","7.826239272","8.039377837","7.966558402","8.25765812","8.252164571","8.40805869","7.819698073","8.118376968","7.84168317","8.216857424","8.011175372","7.609953402","7.478081163","7.632593726","7.590916119","7.422786554","7.657392474","7.942787035","7.80528821","8.005821615","7.813296309","8.118946546","7.998937061","8.153952631","7.914599333","8.082307498","7.703400455"
"245332_at","9.755876019","9.883385689","9.737563319","9.849412741","9.862420214","9.730549658","9.826282518","9.920757895","9.996992288","10.2723611","10.00004886","10.14041455","9.993980054","10.18080776","10.28237951","10.08187034","10.18456833","10.16668541","9.996306043","10.53182113","9.942140023","9.872961911","10.05669049","9.887086618","9.738358362","9.604515597","9.708219356","9.803175633","10.08451885","10.19000636","10.06141477","10.05434018","10.15154011","10.10659662","9.795536318","9.872615137","9.763502852","9.860432777","9.879121623","9.699062923","9.761529378","9.712137401","10.07897564","10.35400285","10.05007639","10.12139902","10.30185568","10.1903143","10.01500562","10.1405621","10.10867731","10.04940845","10.28145968","10.19486466","10.08498611","10.14569011","10.0842247","9.911663171","9.913533488","10.10621476","9.962996681","10.0901683","10.08181943","10.10702335"
"245394_at","12.82867551","12.65391042","12.7132761","12.63645657","12.6479526","12.59490476","12.67054215","12.63691845","12.7583876","12.66862605","12.74538642","12.7164498","12.91467099","12.90416652","13.00437885","13.03085804","12.90962247","13.06116799","12.86889661","12.51145345","12.87182673","12.91230281","12.74834646","12.75413697","12.55432098","12.34406632","12.36289019","12.31262915","12.7121337","12.64639927","12.27886599","12.56245148","12.56799465","12.74104236","12.56300848","12.77206273","12.67155287","12.57763657","12.04418105","11.7814761","11.30485194","11.18389855","11.4640948","12.42775935","12.08437837","12.29517594","12.93185788","13.21453264","12.85757086","12.8187944","12.97487713","12.9996126","13.05314116","12.93265413","12.74814313","12.78444139","12.85786054","12.76958654","12.75838255","12.98242901","12.78994058","12.81409344","12.77945316","12.78464588"
"245446_at","8.467378061","8.488611722","8.555803314","8.381277144","8.524583097","8.530459054","8.567773133","8.530580713","8.562982402","8.668274501","8.670927924","8.568035888","8.605190109","8.638626476","8.490931068","8.475914837","8.364214013","8.636042503","8.363960507","8.243253184","8.034016978","8.222500895","8.112490585","8.108507306","7.603369203","7.808841718","8.964128305","9.045555515","8.95808065","8.802595463","8.821695681","9.021322641","8.845068593","8.82866516","8.401864419","8.506370049","8.158664191","8.546022994","7.982738051","8.113886141","7.843235807","7.986894802","7.842925193","8.344637871","7.952279674","8.082697452","8.716672108","8.605306548","8.553689596","8.391732099","8.553351302","8.569113618","8.514840037","8.641950432","8.607868724","8.606772843","8.481424446","8.653525357","8.538158348","8.547313058","8.754883262","8.624114612","8.4803095","8.435991476"
"245701_at","6.218325329","6.124107664","6.447924561","6.442754203","7.189772753","6.284181742","6.144982278","6.494319059","6.324522266","6.744209563","6.442487146","6.388384438","6.474512498","6.075444185","6.634541195","6.375133576","6.570267406","7.113452746","6.32255326","6.957213885","6.389142856","6.813798384","6.773055117","6.889952128","7.040622934","6.136343526","6.588319698","6.658250344","6.533330854","6.252134159","6.322855009","6.363547815","6.311566333","6.881263702","6.313711238","6.284782556","5.986883316","6.284543635","5.917230498","6.230815137","6.428641765","6.076744893","6.166901998","6.656106558","6.536543651","6.257242153","6.385533939","6.727498593","6.65869937","6.369661487","6.606174112","6.224427849","6.432336815","6.367427468","6.332759324","6.025469992","6.484169315","6.615948356","6.589209973","6.513176799","6.44062582","6.265235109","6.609427943","6.705932584"
