"","GSM131331.DT","GSM131332.DT","GSM131335.DT","GSM131336.DT","GSM131339.DT","GSM131340.DT","GSM131343.DT","GSM131344.DT","GSM131347.DT","GSM131348.DT","GSM131351.DT","GSM131352.DT","GSM131355.DT","GSM131356.DT","GSM131259.CT","GSM131260.CT","GSM131263.CT","GSM131264.CT","GSM131267.CT","GSM131268.CT","GSM131271.CT","GSM131272.CT","GSM131275.CT","GSM131276.CT","GSM131279.CT","GSM131280.CT","GSM131455.HT","GSM131456.HT","GSM131459.HT","GSM131460.HT","GSM131463.HT","GSM131464.HT","GSM131467.HT","GSM131468.HT","GSM131307.ST","GSM131308.ST","GSM131311.ST","GSM131312.ST","GSM131315.ST","GSM131316.ST","GSM131319.ST","GSM131320.ST","GSM131323.ST","GSM131324.ST","GSM131327.ST","GSM131328.ST","GSM131223.WT","GSM131224.WT","GSM131227.WT","GSM131228.WT","GSM131231.WT","GSM131232.WT","GSM131235.WT","GSM131236.WT","GSM131239.WT","GSM131240.WT","GSM131243.WT","GSM131244.WT","GSM131247.WT","GSM131248.WT","GSM131251.WT","GSM131252.WT","GSM131255.WT","GSM131256.WT"
"244920_s_at","10.98432215","11.1605433","11.03830961","10.64004499","10.89608133","10.7880496","10.87525665","10.84152113","11.15742531","11.1557588","10.89242921","10.85662475","10.84122138","11.03971889","9.639414647","9.879104135","11.26018272","10.83284748","10.29218881","11.47961079","11.37751064","11.19964968","11.08795464","10.6089389","10.13576278","10.64132316","11.15199388","10.76498361","11.23139817","11.19912371","10.56735787","10.12707916","10.37661657","10.04474827","11.37489494","10.98836671","10.66423249","10.74099133","10.70284349","11.2800995","10.71587129","10.64623631","10.33517647","11.0333832","11.0596839","11.27377843","10.86025116","10.82887208","11.39474701","11.45788549","10.73668537","10.87364037","10.51825514","11.4245061","10.74982685","10.51978748","11.32279813","11.02597236","11.06264665","10.90303993","10.57654698","10.88212541","10.59037691","10.35048078"
"244929_at","10.9147372","10.85396595","10.82494712","10.55403142","10.81285275","10.76714738","10.85727776","10.98334494","11.32720385","11.26225756","11.09265043","10.83136538","10.91508279","10.99159377","9.948391413","9.804561006","10.3171548","10.99545108","10.44170674","10.99849732","11.01157311","10.74314921","11.03581848","10.79335923","10.20896711","10.59125486","10.59689644","10.18826427","11.07696851","10.81248116","10.84186588","10.04966751","9.975249902","9.835379405","11.19134954","11.12206665","10.7262938","10.7546714","10.82082738","11.06482004","10.67365582","10.7254885","10.25988557","11.2560585","11.28656164","11.09423336","9.95388612","10.29603293","11.56505328","11.49413596","10.42843766","10.40713866","10.28162404","11.1193308","11.20685746","10.81952205","11.34864304","11.07420215","11.2692186","11.23444156","10.61091634","10.69355649","10.54006039","10.41538748"
"245063_at","8.09576001","8.407619562","7.678157708","7.97709548","7.868177091","7.726696457","7.628593254","7.389793976","7.759605827","7.85516217","8.064848481","8.118565513","7.611582635","7.311017477","8.308459254","8.098007233","7.952706887","8.074702018","7.999997843","7.99825119","7.724172354","8.237837338","7.858168862","8.272850052","9.159375604","9.014039092","9.550344032","9.727815579","8.864070737","8.797578655","8.56679878","8.371169044","8.106816932","8.472599373","7.314481123","7.916521589","7.617042443","7.827067296","7.294934071","6.944764077","7.247517227","7.263996465","7.865783477","7.4165125","7.285481267","7.302587531","8.351132081","8.134808591","7.780921806","7.807658487","7.793773682","8.180416941","8.344852803","8.196938158","7.853205466","8.109297901","8.208469405","7.924164809","7.793470019","7.624949655","7.95695439","8.016309631","8.096839164","7.805051564"
"245164_at","11.03837247","10.79047808","10.98799375","10.9713779","10.73754808","10.79703666","10.78179927","10.54098313","9.979256516","9.986017417","10.59240672","10.59156596","10.51019399","10.03777396","10.74232084","10.5988681","10.56546061","10.68900954","10.74564285","10.58674578","10.46063128","10.91057364","10.68926295","10.55285818","11.1347332","11.36001112","11.77461708","11.66047858","11.61103442","11.60751665","10.92670894","10.81040233","10.81278152","10.86612424","10.57911369","10.49192766","10.31751195","10.3758866","9.257314426","9.461460009","9.821264817","9.781126156","10.7831428","10.20037808","10.05006163","10.06521663","10.69674978","10.6813401","10.4393656","10.48568032","10.26770983","10.55944185","10.52073605","10.77692359","10.40719335","10.51888295","10.44449332","10.54119878","10.42326317","10.561578","10.5730023","10.40227281","10.47915084","10.71265847"
"245169_at","10.80377688","10.99611788","10.76256527","10.89066444","10.93077679","10.89872895","11.19088243","11.14713384","11.27415889","11.35768305","11.09569933","11.17866523","10.81733372","11.03918778","11.01164172","11.14480288","10.36731246","10.83266262","10.75138547","10.91084682","10.72892736","10.75904151","10.82572676","10.9875279","10.8168663","10.93979431","11.36043195","11.22073316","11.04770404","10.97661208","11.05075036","11.21949644","11.04454508","11.08567838","10.94934842","10.95001374","10.952675","10.95282145","11.24601573","11.1567478","11.2884046","11.28747744","11.30109241","11.24196821","11.12318488","10.92808398","10.81348742","11.00032326","10.7864831","10.81646207","10.85517901","10.90410177","10.87517947","10.96773839","11.21526194","11.05550364","11.02732631","10.90401714","11.20691846","11.21580184","11.02886895","11.01590497","10.98955749","11.06271072"
"245263_at","10.36432125","10.04916591","10.2390673","9.979864205","10.0555448","10.21247037","10.02334862","10.01967119","10.01653113","10.15850957","10.66555525","10.35706798","10.01814838","9.997037668","10.36456279","10.22757386","10.02611732","9.986928029","9.992506716","10.1203192","9.979948631","10.07306905","9.654187486","10.05956639","9.675899046","9.841630752","9.813653512","10.06341187","10.36561435","10.24273606","10.61695732","10.41526045","10.01054763","10.11681496","9.956954919","10.11910838","9.960696541","10.11126526","9.78391814","9.977562702","9.565785203","9.742597384","10.20948869","10.36982008","9.727613364","9.74685127","10.02765147","10.1314309","9.748961312","9.787696154","9.801590726","10.05924672","10.06630385","9.950367454","10.0829344","9.877070802","9.864187246","9.81495454","10.17529037","10.16938142","10.58182114","10.4704947","10.07502021","10.24798325"
"245332_at","9.878042962","9.929260863","9.834037866","9.948928257","9.865446988","9.687131265","10.02427198","10.06270324","9.747822125","9.8535422","9.739575199","9.942250079","9.526979248","9.786824735","9.907359801","9.765253886","10.25764247","9.959595776","9.801085939","9.931500985","9.830577612","9.859437129","9.73927516","9.849275172","9.783589644","9.880419647","9.026627552","9.271596608","9.633782429","9.58597056","9.86739086","9.735273297","9.937138605","10.0473512","9.62853376","9.835586358","9.906112243","9.984263874","9.887289771","9.985937862","9.911854511","9.825760602","10.35525529","9.831788171","10.44404987","10.38482502","10.07798564","10.08158631","9.687327192","9.976166391","9.994369954","9.866076787","10.01686008","10.17754226","9.817250951","10.0608814","10.05676897","9.811496874","9.712138927","9.699151374","9.796703012","9.781385602","10.04266996","9.975778384"
"245394_at","11.95626175","12.00700582","11.74510838","11.63142063","11.67983904","11.7345568","11.8906113","11.73705046","11.93999937","11.93036572","12.21747071","12.18230949","12.00580567","11.94638822","11.91887812","11.8855315","11.88507432","11.90404772","11.9719819","11.86387866","11.74591221","11.75087691","11.89390854","11.9610426","11.90293199","11.86162072","11.61438033","11.74714578","12.05796055","12.13748575","12.2153178","11.95353736","11.60181122","11.70285477","11.81790212","11.70125769","11.92462916","11.94350687","12.05961861","12.10328608","12.15100357","12.06103936","12.25545577","12.18758357","11.94783386","11.85795958","12.03488144","12.02319484","11.72910666","11.83295252","11.80954579","11.89142467","12.06405522","12.03959675","12.26492456","12.10320864","12.16417916","11.76829725","12.28476163","12.23896798","12.14049934","12.15131785","12.08693256","11.94626267"
"245446_at","8.603673792","8.352238865","8.339084415","8.352761567","8.447019876","8.463148298","8.513477298","8.477638976","8.735159659","8.726135111","8.608688963","8.753084556","8.245823657","8.189435498","8.75942975","8.553488077","8.670794858","8.37777908","8.323403945","8.088304488","8.292364465","8.067276941","7.965262184","7.952490581","7.44392444","7.498002631","8.890595214","9.010850648","8.971259959","9.244953192","8.882018069","9.081147334","8.562375372","8.62479384","8.301248567","8.538967759","8.560798159","8.517244127","8.221165487","8.16873452","8.232112408","8.206581669","8.384585553","8.558337276","8.232421738","8.134552996","8.200728554","8.413947451","8.227830388","8.258210012","8.278532158","8.440963873","8.332041178","8.684159692","8.636162861","8.562525205","8.527473244","8.535050989","8.87465029","8.746531251","8.973161716","8.824439121","8.449024584","8.388381361"
"245701_at","12.90039965","12.87774998","12.97120897","12.90757108","12.95579982","13.0504388","12.88352388","12.91831652","12.63504305","12.61558748","13.16605782","13.08358672","12.83624659","12.89677725","13.30257791","13.320239","12.79045076","12.96037685","12.87191767","13.04063188","12.9082819","12.96090148","12.8134894","12.85675422","12.47675449","12.22963234","12.59282302","12.70570364","12.32963427","12.43107721","13.49063202","13.59504717","13.12524102","13.21146728","12.90613743","12.8380521","12.85079815","12.94456192","12.86797571","12.91725756","12.59833656","12.55492617","12.72831376","12.99335812","12.724987","12.83200568","12.87842495","13.17523111","12.84090408","12.84597931","13.09207131","13.11083091","12.83915103","12.91870116","12.78203403","12.8583608","12.6762442","12.14481568","12.6911176","12.68119235","13.1077793","13.10954746","13.04404908","13.32774814"
